Year,Table,Row
1901,0,['1901 American League Player Review\n1901 Hitting Statistics League Leaderboards | 1902 →']
1901,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1901,0,"['Base on Balls', 'Dummy Hoy', 'Chicago', '86', 'Top 25']"
1901,0,"['Batting Average', 'Nap Lajoie', 'Philadelphia', '.426', 'Top 25']"
1901,0,"['Doubles', 'Nap Lajoie', 'Philadelphia', '48', 'Top 25']"
1901,0,"['Hits', 'Nap Lajoie', 'Philadelphia', '232', 'Top 25']"
1901,0,"['Home Runs', 'Nap Lajoie', 'Philadelphia', '14', 'Top 25']"
1901,0,"['On Base Percentage', 'Nap Lajoie', 'Philadelphia', '.463', 'Top 25']"
1901,0,"['RBI', 'Nap Lajoie', 'Philadelphia', '125', 'Top 25']"
1901,0,"['Runs', 'Nap Lajoie', 'Philadelphia', '145', 'Top 25']"
1901,0,"['Slugging Average', 'Nap Lajoie', 'Philadelphia', '.643', 'Top 25']"
1901,0,"['Stolen Bases', 'Frank Isbell', 'Chicago', '52', 'Top 25']"
1901,0,"['Total Bases', 'Nap Lajoie', 'Philadelphia', '350', 'Top 25']"
1901,0,"['Triples', 'Bill Keister', 'Baltimore', '21', 'Top 25']"
1901,0,['Jimmy Williams']
1901,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1901,0,['1901 A.L. History | 1901 N.L. History | Year-by-Year History']
1901,1,['1901 American League Pitcher Review\n1901 Pitching Statistics League Leaderboards | 1902 →']
1901,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1901,1,"['Complete Games', 'Joe McGinnity', 'Baltimore', '39', 'Top 25']"
1901,1,"['ERA', 'Cy Young', 'Boston', '1.62', 'Top 25']"
1901,1,"['Games', 'Joe McGinnity', 'Baltimore', '48', 'Top 25']"
1901,1,"['Saves', 'Bill Hoffer', 'Cleveland', '3', 'Top 25']"
1901,1,"['Shutouts', 'Clark Griffith', 'Chicago', '5', 'Top 25']"
1901,1,"['Cy Young', 'Boston']"
1901,1,"['Strikeouts', 'Cy Young', 'Boston', '158', 'Top 25']"
1901,1,"['Winning Percentage', 'Clark Griffith', 'Chicago', '.774', 'Top 25']"
1901,1,"['Wins', 'Cy Young', 'Boston', '33', 'Top 25']"
1901,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1901,1,['1901 A.L. History | 1901 N.L. History | Year-by-Year History']
1901,2,['1901 American League\nTeam Standings']
1901,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1901,2,"['Chicago White Sox', '83', '53', '.610', '0']"
1901,2,"['Boston Americans', '79', '57', '.581', '4']"
1901,2,"['Detroit Tigers', '74', '61', '.548', '8½']"
1901,2,"['Philadelphia Athletics', '74', '62', '.544', '9']"
1901,2,"['Baltimore Orioles', '68', '65', '.511', '13½']"
1901,2,"['Washington Senators', '61', '72', '.459', '20½']"
1901,2,"['Cleveland Blues', '54', '82', '.397', '29']"
1901,2,"['Milwaukee Brewers', '48', '89', '.350', '35½']"
1901,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1901,2,['1901 American League Team Standings']
1901,3,['1901 American League Team Review\nHitting Statistics League Leaderboard']
1901,3,"['Statistic', 'Team', '#']"
1901,3,"['Base on Balls', 'Chicago', '475']"
1901,3,"['Batting Average', 'Baltimore', '.294']"
1901,3,"['Doubles', 'Philadelphia', '239']"
1901,3,"['Hits', 'Philadelphia', '1,409']"
1901,3,"['Home Runs', 'Boston', '37']"
1901,3,"['On Base Percentage', 'Baltimore', '.353']"
1901,3,"['Runs', 'Chicago', '819']"
1901,3,"['Slugging Average', 'Baltimore', '.397']"
1901,3,"['Stolen Bases', 'Chicago', '280']"
1901,3,"['Triples', 'Baltimore', '111']"
1901,3,"['Statistic', 'Team', '#']"
1901,4,['1901 American League Team Review\nPitching Statistics League Leaderboard']
1901,4,"['Statistic', 'Team', '#']"
1901,4,"['Complete Games', 'Philadelphia', '124']"
1901,4,"['ERA', 'Chicago', '2.98']"
1901,4,"['Fewest Hits Allowed', 'Boston', '1,178']"
1901,4,"['Fewest Home Runs Allowed', 'Philadelphia', '20']"
1901,4,"['Fewest Walks Allowed', 'Washington', '284']"
1901,4,"['Saves', 'Cleveland', '4']"
1901,4,['Milwaukee']
1901,4,"['Shutouts', 'Chicago', '11']"
1901,4,"['Strikeouts', 'Boston', '396']"
1901,4,"['Statistic', 'Team', '#']"
1902,0,['1902 American League Player Review\n← 1901 | 1902 Hitting Statistics League Leaders | 1903 →']
1902,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1902,0,"['Base on Balls', 'Topsy Hartsel', 'Philadelphia', '87', 'Top 25']"
1902,0,"['Batting Average', 'Ed Delahanty', 'Washington', '.376', 'Top 25']"
1902,0,"['Doubles', 'Harry Davis', 'Philadelphia', '43', 'Top 25']"
1902,0,"['Ed Delahanty', 'Washington']"
1902,0,"['Hits', 'Charlie Hickman', 'Boston', '193', 'Top 25']"
1902,0,['Cleveland']
1902,0,"['Home Runs', 'Socks Seybold', 'Philadelphia', '16', 'Top 25']"
1902,0,"['On Base Percentage', 'Ed Delahanty', 'Washington', '.453', 'Top 25']"
1902,0,"['RBI', 'Buck Freeman', 'Boston', '121', 'Top 25']"
1902,0,"['Runs', 'Dave Fultz', 'Philadelphia', '109', 'Top 25']"
1902,0,['Topsy Hartsel']
1902,0,"['Slugging Average', 'Ed Delahanty', 'Washington', '.590', 'Top 25']"
1902,0,"['Stolen Bases', 'Topsy Hartsel', 'Philadelphia', '47', 'Top 25']"
1902,0,"['Total Bases', 'Charlie Hickman', 'Boston', '288', 'Top 25']"
1902,0,['Cleveland']
1902,0,"['Triples', 'Jimmy Williams', 'Baltimore', '21', 'Top 25']"
1902,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1902,0,['1902 A.L. History | 1902 N.L. History | Year-by-Year History']
1902,1,['1902 American League Pitcher Review\n← 1901 | 1902 Pitching Statistics League Leaders | 1903 →']
1902,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1902,1,"['Complete Games', 'Cy Young', 'Boston', '41', 'Top 25']"
1902,1,"['ERA', 'Ed Siever', 'Detroit', '1.91', 'Top 25']"
1902,1,"['Games', 'Cy Young', 'Boston', '45', 'Top 25']"
1902,1,"['Saves', 'Jack Powell', 'St. Louis', '2', 'Top 25']"
1902,1,"['Shutouts', 'Addie Joss', 'Cleveland', '5', 'Top 25']"
1902,1,"['Strikeouts', 'Rube Waddell', 'Philadelphia', '210', 'Top 25']"
1902,1,"['Winning Percentage', 'Bill Bernhard', 'Philadelphia', '.783', 'Top 25']"
1902,1,['Cleveland']
1902,1,"['Wins', 'Cy Young', 'Boston', '32', 'Top 25']"
1902,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1902,1,['1902 A.L. History | 1902 N.L. History | Year-by-Year History']
1902,2,['1902 American League\nTeam Standings']
1902,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1902,2,"['Philadelphia Athletics', '83', '53', '.610', '0']"
1902,2,"['St. Louis Browns', '78', '58', '.574', '5']"
1902,2,"['Boston Americans', '77', '60', '.562', '6½']"
1902,2,"['Chicago White Sox', '74', '60', '.552', '8']"
1902,2,"['Cleveland Blues', '69', '67', '.507', '14']"
1902,2,"['Washington Senators', '61', '75', '.449', '22']"
1902,2,"['Detroit Tigers', '52', '83', '.385', '30½']"
1902,2,"['Baltimore Orioles', '50', '88', '.362', '34']"
1902,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1902,2,['1902 American League Team Standings']
1902,3,['1902 American League Team Review\nHitting Statistics League Leaderboard']
1902,3,"['Statistic', 'Team', '#']"
1902,3,"['Base on Balls', 'Baltimore', '417']"
1902,3,"['Batting Average', 'Cleveland', '.289']"
1902,3,"['Doubles', 'Washington', '261']"
1902,3,"['Hits', 'Cleveland', '1,401']"
1902,3,"['Home Runs', 'Washington', '47']"
1902,3,"['On Base Percentage', 'Baltimore', '.342']"
1902,3,"['Runs', 'Philadelphia', '775']"
1902,3,"['Slugging Average', 'Washington', '.395']"
1902,3,"['Stolen Bases', 'Chicago', '265']"
1902,3,"['Triples', 'Baltimore', '107']"
1902,3,"['Statistic', 'Team', '#']"
1902,4,['1902 American League Team Review\nPitching Statistics League Leaderboard']
1902,4,"['Statistic', 'Team', '#']"
1902,4,"['Complete Games', 'Washington', '130']"
1902,4,"['ERA', 'Boston', '3.02']"
1902,4,"['Fewest Hits Allowed', 'Cleveland', '1,199']"
1902,4,"['Fewest Home Runs Allowed', 'Detroit', '20']"
1902,4,"['Fewest Walks Allowed', 'Washington', '312']"
1902,4,"['Saves', 'Cleveland', '3']"
1902,4,['Detroit']
1902,4,"['Shutouts', 'Cleveland', '16']"
1902,4,"['Strikeouts', 'Philadelphia', '455']"
1902,4,"['Statistic', 'Team', '#']"
1903,0,['1903 American League Player Review\n← 1902 | 1903 Hitting Statistics League Leaders | 1904 →']
1903,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1903,0,"['Base on Balls', 'Jimmy Barrett', 'Detroit', '74', 'Top 25']"
1903,0,"['Batting Average', 'Nap Lajoie', 'Cleveland', '.344', 'Top 25']"
1903,0,"['Doubles', 'Socks Seybold', 'Philadelphia', '45', 'Top 25']"
1903,0,"['Hits', 'Patsy Dougherty', 'Boston', '195', 'Top 25']"
1903,0,"['Home Runs', 'Buck Freeman', 'Boston', '13', 'Top 25']"
1903,0,"['On Base Percentage', 'Jimmy Barrett', 'Detroit', '.407', 'Top 25']"
1903,0,"['RBI', 'Buck Freeman', 'Boston', '104', 'Top 25']"
1903,0,"['Runs', 'Patsy Dougherty', 'Boston', '107', 'Top 25']"
1903,0,"['Slugging Average', 'Nap Lajoie', 'Cleveland', '.518', 'Top 25']"
1903,0,"['Stolen Bases', 'Harry Bay', 'Cleveland', '45', 'Top 25']"
1903,0,"['Total Bases', 'Buck Freeman', 'Boston', '281', 'Top 25']"
1903,0,"['Triples', 'Sam Crawford', 'Detroit', '25', 'Top 25']"
1903,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1903,0,['1903 A.L. History | 1903 N.L. History | Year-by-Year History']
1903,1,['1903 American League Pitcher Review\n← 1902 | 1903 Pitching Statistics League Leaders | 1904 →']
1903,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1903,1,"['Complete Games', 'Bill Donovan', 'Detroit', '34', 'Top 25']"
1903,1,"['Rube Waddell', 'Philadelphia']"
1903,1,"['Cy Young', 'Boston']"
1903,1,"['ERA', 'Earl Moore', 'Cleveland', '1.74', 'Top 25']"
1903,1,"['Games', 'Eddie Plank', 'Philadelphia', '43', 'Top 25']"
1903,1,"['Saves', 'Bill Dinneen', 'Boston', '2', 'Top 25']"
1903,1,"['George Mullin', 'Detroit']"
1903,1,"['Al Orth', 'Washington']"
1903,1,"['Jack Powell', 'St. Louis']"
1903,1,"['Cy Young', 'Boston']"
1903,1,"['Shutouts', 'Cy Young', 'Boston', '7', 'Top 25']"
1903,1,"['Strikeouts', 'Rube Waddell', 'Philadelphia', '302', 'Top 25']"
1903,1,"['Winning Percentage', 'Cy Young', 'Boston', '.757', 'Top 25']"
1903,1,"['Wins', 'Cy Young', 'Boston', '28', 'Top 25']"
1903,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1903,1,['1903 A.L. History | 1903 N.L. History | Year-by-Year History']
1903,2,['1903 American League\nTeam Standings | World Series']
1903,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1903,2,"['Boston Americans', '91', '47', '.659', '0']"
1903,2,"['Philadelphia Athletics', '75', '60', '.556', '14½']"
1903,2,"['Cleveland Blues', '77', '63', '.550', '15']"
1903,2,"['New York Highlanders', '72', '62', '.537', '17']"
1903,2,"['Detroit Tigers', '65', '71', '.478', '25']"
1903,2,"['St. Louis Browns', '65', '74', '.468', '26½']"
1903,2,"['Chicago White Sox', '60', '77', '.438', '30½']"
1903,2,"['Washington Senators', '43', '94', '.314', '47½']"
1903,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1903,2,['1903 American League Team Standings']
1903,3,['1903 American League Team Review\nHitting Statistics League Leaderboard']
1903,3,"['Statistic', 'Team', '#']"
1903,3,"['Base on Balls', 'New York', '332']"
1903,3,"['Batting Average', 'Boston', '.272']"
1903,3,"['Doubles', 'Cleveland', '231']"
1903,3,"['Hits', 'Boston', '1,336']"
1903,3,"['Home Runs', 'Boston', '48']"
1903,3,"['On Base Percentage', 'Detroit', '.318']"
1903,3,"['Runs', 'Boston', '708']"
1903,3,"['Slugging Average', 'Boston', '.392']"
1903,3,"['Stolen Bases', 'Chicago', '180']"
1903,3,"['Triples', 'Boston', '113']"
1903,3,"['Statistic', 'Team', '#']"
1903,4,['1903 American League Team Review\nPitching Statistics League Leaderboard']
1903,4,"['Statistic', 'Team', '#']"
1903,4,"['Complete Games', 'Cleveland', '125']"
1903,4,"['ERA', 'Boston', '2.57']"
1903,4,"['Fewest Hits Allowed', 'Philadelphia', '1,124']"
1903,4,"['Fewest Home Runs Allowed', 'Cleveland', '16']"
1903,4,"['Fewest Walks Allowed', 'St. Louis', '237']"
1903,4,"['Saves', 'Boston', '4']"
1903,4,['Chicago']
1903,4,"['Shutouts', 'Boston', '20']"
1903,4,['Cleveland']
1903,4,"['Strikeouts', 'Philadelphia', '728']"
1903,4,"['Statistic', 'Team', '#']"
1904,0,['1904 American League Player Review\n← 1903 | 1904 Hitting Statistics League Leaders | 1905 →']
1904,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1904,0,"['Base on Balls', 'Jimmy Barrett', 'Detroit', '79', 'Top 25']"
1904,0,"['Batting Average', 'Nap Lajoie', 'Cleveland', '.376', 'Top 25']"
1904,0,"['Doubles', 'Nap Lajoie', 'Cleveland', '49', 'Top 25']"
1904,0,"['Hits', 'Nap Lajoie', 'Cleveland', '211', 'Top 25']"
1904,0,"['Home Runs', 'Harry Davis', 'Philadelphia', '10', 'Top 25']"
1904,0,"['On Base Percentage', 'Nap Lajoie', 'Cleveland', '.413', 'Top 25']"
1904,0,"['RBI', 'Nap Lajoie', 'Cleveland', '102', 'Top 25']"
1904,0,"['Runs', 'Patsy Dougherty', 'Boston', '113', 'Top 25']"
1904,0,['New York']
1904,0,"['Slugging Average', 'Nap Lajoie', 'Cleveland', '.552', 'Top 25']"
1904,0,"['Stolen Bases', 'Harry Bay', 'Cleveland', '38', 'Top 25']"
1904,0,['Elmer Flick']
1904,0,"['Total Bases', 'Nap Lajoie', 'Cleveland', '305', 'Top 25']"
1904,0,"['Triples', 'Joe Cassidy', 'Washington', '19', 'Top 25']"
1904,0,"['Buck Freeman', 'Boston']"
1904,0,"['Chick Stahl', 'Boston']"
1904,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1904,0,['1904 A.L. History | 1904 N.L. History | Year-by-Year History']
1904,1,['1904 American League Pitcher Review\n← 1903 | 1904 Pitching Statistics League Leaders | 1905 →']
1904,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1904,1,"['Complete Games', 'Jack Chesbro', 'New York', '48', 'Top 25']"
1904,1,"['ERA', 'Addie Joss', 'Cleveland', '1.59', 'Top 25']"
1904,1,"['Games', 'Jack Chesbro', 'New York', '55', 'Top 25']"
1904,1,"['Saves', 'Case Patten', 'Washington', '3', 'Top 25']"
1904,1,"['Shutouts', 'Cy Young', 'Boston', '10', 'Top 25']"
1904,1,"['Strikeouts', 'Rube Waddell', 'Philadelphia', '349', 'Top 25']"
1904,1,"['Winning Percentage', 'Jack Chesbro', 'New York', '.774', 'Top 25']"
1904,1,"['Wins', 'Jack Chesbro', 'New York', '41', 'Top 25']"
1904,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1904,1,['1904 A.L. History | 1904 N.L. History | Year-by-Year History']
1904,2,['1904 American League\nTeam Standings']
1904,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1904,2,"['Boston Americans', '95', '59', '.617', '0']"
1904,2,"['New York Highlanders', '92', '59', '.609', '1½']"
1904,2,"['Chicago White Sox', '89', '65', '.578', '6']"
1904,2,"['Cleveland Blues', '86', '65', '.570', '7½']"
1904,2,"['Philadelphia Athletics', '81', '70', '.536', '12½']"
1904,2,"['St. Louis Browns', '65', '87', '.428', '29']"
1904,2,"['Detroit Tigers', '62', '90', '.408', '32']"
1904,2,"['Washington Senators', '38', '113', '.252', '55½']"
1904,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1904,2,['1904 American League Team Standings']
1904,3,['1904 American League Team Review\nHitting Statistics League Leaderboard']
1904,3,"['Statistic', 'Team', '#']"
1904,3,"['Base on Balls', 'Chicago', '373']"
1904,3,"['Batting Average', 'Cleveland', '.260']"
1904,3,"['Doubles', 'Cleveland', '225']"
1904,3,"['Hits', 'New York', '1,354']"
1904,3,"['Home Runs', 'Philadelphia', '31']"
1904,3,"['On Base Percentage', 'Cleveland', '.308']"
1904,3,"['Runs', 'Cleveland', '647']"
1904,3,"['Slugging Average', 'Cleveland', '.354']"
1904,3,"['Stolen Bases', 'Chicago', '216']"
1904,3,"['Triples', 'Boston', '105']"
1904,3,"['Statistic', 'Team', '#']"
1904,4,['1904 American League Team Review\nPitching Statistics League Leaderboard']
1904,4,"['Statistic', 'Team', '#']"
1904,4,"['Complete Games', 'Boston', '148']"
1904,4,"['ERA', 'Boston', '2.12']"
1904,4,"['Fewest Hits Allowed', 'Philadelphia', '1,149']"
1904,4,"['Fewest Home Runs Allowed', 'Cleveland', '10']"
1904,4,"['Fewest Walks Allowed', 'Boston', '233']"
1904,4,"['Saves', 'Washington', '4']"
1904,4,"['Shutouts', 'Chicago', '26']"
1904,4,['Philadelphia']
1904,4,"['Strikeouts', 'Philadelphia', '887']"
1904,4,"['Statistic', 'Team', '#']"
1905,0,['1905 American League Player Review\n← 1904 | 1905 Hitting Statistics League Leaders | 1906 →']
1905,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1905,0,"['Base on Balls', 'Topsy Hartsel', 'Philadelphia', '121', 'Top 25']"
1905,0,"['Batting Average', 'Elmer Flick', 'Cleveland', '.308', 'Top 25']"
1905,0,"['Doubles', 'Harry Davis', 'Philadelphia', '47', 'Top 25']"
1905,0,"['Hits', 'George Stone', 'St. Louis', '187', 'Top 25']"
1905,0,"['Home Runs', 'Harry Davis', 'Philadelphia', '8', 'Top 25']"
1905,0,"['On Base Percentage', 'Topsy Hartsel', 'Philadelphia', '.409', 'Top 25']"
1905,0,"['RBI', 'Harry Davis', 'Philadelphia', '83', 'Top 25']"
1905,0,"['Runs', 'Harry Davis', 'Philadelphia', '93', 'Top 25']"
1905,0,"['Slugging Average', 'Elmer Flick', 'Cleveland', '.462', 'Top 25']"
1905,0,"['Stolen Bases', 'Danny Hoffman', 'Philadelphia', '46', 'Top 25']"
1905,0,"['Total Bases', 'George Stone', 'St. Louis', '259', 'Top 25']"
1905,0,"['Triples', 'Elmer Flick', 'Cleveland', '18', 'Top 25']"
1905,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1905,0,['1905 A.L. History | 1905 N.L. History | Year-by-Year History']
1905,1,['1905 American League Pitcher Review\n← 1904 | 1905 Pitching Statistics League Leaders | 1906 →']
1905,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1905,1,"['Complete Games', 'Harry Howell', 'St. Louis', '35', 'Top 25']"
1905,1,"['George Mullin', 'Detroit']"
1905,1,"['Eddie Plank', 'Philadelphia']"
1905,1,"['ERA', 'Rube Waddell', 'Philadelphia', '1.48', 'Top 25']"
1905,1,"['Games', 'Rube Waddell', 'Philadelphia', '46', 'Top 25']"
1905,1,"['Saves', 'Jim Buchanan', 'St. Louis', '2', 'Top 25']"
1905,1,"['Shutouts', 'Ed Killian', 'Detroit', '8', 'Top 25']"
1905,1,"['Strikeouts', 'Rube Waddell', 'Philadelphia', '287', 'Top 25']"
1905,1,"['Winning Percentage', 'Rube Waddell', 'Philadelphia', '.730', 'Top 25']"
1905,1,"['Wins', 'Rube Waddell', 'Philadelphia', '27', 'Top 25']"
1905,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1905,1,['1905 A.L. History | 1905 N.L. History | Year-by-Year History']
1905,2,['1905 American League\nTeam Standings']
1905,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1905,2,"['Philadelphia Athletics', '92', '56', '.622', '0']"
1905,2,"['Chicago White Sox', '92', '60', '.605', '2']"
1905,2,"['Detroit Tigers', '79', '74', '.516', '15½']"
1905,2,"['Boston Americans', '78', '74', '.513', '16']"
1905,2,"['Cleveland Naps', '76', '78', '.494', '19']"
1905,2,"['New York Highlanders', '71', '78', '.477', '21½']"
1905,2,"['Washington Senators', '64', '87', '.424', '29½']"
1905,2,"['St. Louis Browns', '54', '99', '.353', '40½']"
1905,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1905,2,['1905 American League Team Standings']
1905,3,['1905 American League Team Review\nHitting Statistics League Leaderboard']
1905,3,"['Statistic', 'Team', '#']"
1905,3,"['Base on Balls', 'Boston', '486']"
1905,3,"['Batting Average', 'Philadelphia', '.255']"
1905,3,"['Doubles', 'Philadelphia', '256']"
1905,3,"['Hits', 'Cleveland', '1,318']"
1905,3,"['Home Runs', 'Boston', '29']"
1905,3,"['On Base Percentage', 'Philadelphia', '.310']"
1905,3,"['Runs', 'Philadelphia', '623']"
1905,3,"['Slugging Average', 'Philadelphia', '.338']"
1905,3,"['Stolen Bases', 'New York', '200']"
1905,3,"['Triples', 'Cleveland', '72']"
1905,3,"['Statistic', 'Team', '#']"
1905,4,['1905 American League Team Review\nPitching Statistics League Leaderboard']
1905,4,"['Statistic', 'Team', '#']"
1905,4,"['Complete Games', 'Cleveland', '140']"
1905,4,"['ERA', 'Chicago', '1.99']"
1905,4,"['Fewest Hits Allowed', 'Philadelphia', '1,137']"
1905,4,"['Fewest Home Runs Allowed', 'Chicago', '11']"
1905,4,['Detroit']
1905,4,"['Fewest Walks Allowed', 'Boston', '292']"
1905,4,"['Saves', 'New York', '4']"
1905,4,"['Shutouts', 'New York', '19']"
1905,4,['Philadelphia']
1905,4,"['Strikeouts', 'Philadelphia', '895']"
1905,4,"['Statistic', 'Team', '#']"
